Name: CHC家庭影院, URL: https://gdcucc.v1.mk/gdcucc/chcjtyy.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 150 ms
Name: CHC影迷电影, URL: http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00002029/index.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 香港卫视, URL: http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/hkphoenix_twn/playlist.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 香港卫视, URL: http://player.cntv.cn/standard/live_HLSDRM20180606.swf?ChannelID=xianggangweishi&P2PChannelID=pd://cctv_p2p_hdxianggangweishi, Date: None, Resolution: None, Response Time: 78 ms
Name: 经典电影, URL: http://60.172.130.146:352/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 经典电影, URL: http://183.66.15.146:60901/tsfile/live/0111_2.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 经典电影, URL: https://cdn.iptv8k.top/dl/jrys.php?id=396&time=20240926215313&ip=111.229.253.40$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 300 ms
Name: 凤凰中文, URL: http://50.7.234.10:8278/phoenixtv_hd/playlist.m3u8?tid=MFBF2713938527139385&ct=19225&tsum=1c8ca0899277714ab83db57245220068$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 凤凰中文, URL: https://cdn.163189.xyz/live/fhzw/stream.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 凤凰中文, URL: http://cdn.132.us.kg/live/fhzw/stream.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 凤凰资讯, URL: http://cdn3.163189.xyz/live/fhzx/stream.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 凤凰资讯, URL: http://wo.xiang.lai.ge.bi.jiao.chang.de.yu.ming.wan.wan.jie.xi.bu.zhi.dao.ke.bu.ke.xing.hk3.345888.xyz.cdn.cloudflare.net/gt/aktv.php?variable=null-4$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 150 ms
Name: 凤凰资讯, URL: http://aktv-stream.m16tv.cfd/stream/aktv/null-4/AKTV.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 150 ms
Name: 凤凰资讯, URL: http://aktv_stream.m16tv.cfd/stream/aktv/null-4/AKTV.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 150 ms
Name: 凤凰资讯, URL: http://aktv_stream1.m16tv.cfd/stream/aktv/null-4/AKTV.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 150 ms
Name: CCTV-风云音乐, URL: http://www.jiaocj.xyz:4000/udp/239.49.8.92:8000$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 73 ms
Name: CCTV-风云足球, URL: http://119.98.133.175:8088/rtp/239.69.1.81:10126$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 56 ms
Name: TVB无线新闻台, URL: https://nothingbe.serv00.net/tvb.php?id=C&type=hd$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
